,Region Name,District,HR_info_district_name,REGN_NO,DIST_NO
131,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
132,Nugaal,Eyl,Eyl,17.0,1702.0
133,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
134,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
135,Bari,Qardho,Qardho,16.0,1604.0
136,Nugaal,Garowe,Garowe,17.0,1703.0
137,Mudug,Galdogob,Galdogob,18.0,1802.0
138,Mudug,Galdogob,Galdogob,18.0,1802.0
139,Mudug,Hobyo,Hobyo,18.0,1804.0
140,Bari,Iskushuban,Iskushuban,16.0,1605.0
141,Mudug,Jariiban,Jariiban,18.0,1805.0
142,,Kandala,Qandala,16.0,1605.0
143,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
144,Sool,Lasanod,Laas Caanood,14.0,1403.0
145,Awdal,Lughaye,Lughaye,11.0,1103.0
146,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
147,Togdheer,Sheikh,Sheikh,13.0,1304.0
148,Sool,Taleh,Taleex,14.0,1404.0
149,sool,Xudun,Xudun,14.0,1402.0
150,Awdal,Zeylac,Zeylac,11.0,1104.0
151,Galgaduud,Abudwak,Cabudwaaq,19.0,1901.0
152,Galgaduud,Adado,Cadaado,19.0,1902.0
153,Middle Shebelle,Adale,Cadale,21.0,2004.0
154,Middle Shebelle,Aden Yabal,Adan Yabaal,21.0,2101.0
155,Lower Shebelle,Afgoye,Afgooye,23.0,2301.0
156,Lower Juba,Afmadow,Afmadow,28.0,2801.0
157,Bari,Alula,Caluula,16.0,1601.0
158,Bay,Baidoa,Baidoa,24.0,2401.0
159,Awdal,Baki,Baki,11.0,1101.0
160,Middle Shebelle,Balad,Balcad,21.0,2102.0
161,Gedo,Bardera,Baardheere,26.0,2601.0
162,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
163,Hiran,BeledWeyne,Belet Weyne,20.0,2001.0
164,Bari,Bender Beila,Bandarbayla,16.0,1602.0
165,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
166,Awdal,Borama,Borama,11.0,1102.0
167,Bari,Bossaso,Bossaso,16.0,1603.0
168,Lower Shebelle,Barawa,Baraawe,23.0,2302.0
169,Middle Juba,Buale,Bu'aale,27.0,2701.0
170,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
171,Hiran,Buloburde,Bulo Burti,20.0,2002.0
172,Bay,Buur Hakaba,Buur Hakaba,24.0,2402.0
173,Togdheer,Burao,Burco,13.0,1302.0
174,Nugaal,Burtinle,Burtinle,17.0,1701.0
175,Sool,Aynabo,Caynabo,14.0,1401.0
176,Bay,Diinsor,Diinsoor,24.0,2403.0
177,Gedo,Dolow,Doolow,26.0,2603.0
178,Galguduud,Dusa Mareb,Dhuusamarreeb,19.0,1903.0
179,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
180,Bakool,El Barde,Ceel Barde,25.0,2501.0
181,Galgaduud,El Buur,Ceel Buur,19.0,1904.0
182,Galgaduud,El Der,Ceel Buur,19.0,1904.0
183,Gedo,Ceel Waaq,El Waq,26.0,2604.0
184,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
185,Nugaal,Eyl,Eyl,17.0,1702.0
186,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
187,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
188,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
189,Bari,Qardho,Qardho,16.0,1604.0
190,Nugaal,Garowe,Garowe,17.0,1703.0
191,Mudug,Galdogob,Galdogob,18.0,1802.0
192,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
193,Mudug,Hobyo,Hobyo,18.0,1804.0
194,Bakool,Hudur,Xudur,25.0,2502.0
195,Bari,Iskushuban,Iskushuban,16.0,1605.0
196,Hiraan,Jalalaqsi,Jalalaqsi,20.0,2003.0
197,Lower Juba,Jamaame,Jamaame,28.0,2803.0
198,Mudug,Jariiban,Jariiban,18.0,1805.0
199,Middle Juba,Jilib,Jilib,27.0,2702.0
200,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
201,,Kandala,Qandala,16.0,1605.0
202,Lower Juba,Kismayo,Kismayo,28.0,2804.0
203,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
204,Sool,Lasanod,Laas Caanood,14.0,1403.0
205,Awdal,Lughaye,Lughaye,11.0,1103.0
206,Gedo,Luuq,Luuq,26.0,2606.0
207,Lower Shebelle,Marka,Marka,23.0,2304.0
208,Benadir,Mogadishu,Mogadishu,22.0,2201.0
209,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
210,Bay,Qansah Dere,Qansax Dheere,24.0,2404.0
211,Bakool,Rab Dhuure,Rab Dhuure,25.0,2503.0
212,Lower Shebelle,Sablale,Sablaale,23.0,2306.0
213,Middle Juba,Sakow,Saakow,27.0,2703.0
214,Togdheer,Sheikh,Sheikh,13.0,1304.0
215,Sool,Taleh,Taleex,14.0,1404.0
216,Bakool,Waajid,Waajid,25.0,2505.0
217,Lower Shebelle,Wanla Weyne,Wanle Weyne,23.0,2307.0
218,sool,Xudun,Xudun,14.0,1402.0
219,Awdal,Zeylac,Zeylac,11.0,1104.0
220,Galgaduud,Abudwak,Cabudwaaq,19.0,1901.0
221,Galgaduud,Adado,Cadaado,19.0,1902.0
222,Middle Shebelle,Adale,Cadale,21.0,2004.0
223,Middle Shebelle,Aden Yabal,Adan Yabaal,21.0,2101.0
224,Lower Shebelle,Afgoye,Afgooye,23.0,2301.0
225,Lower Juba,Afmadow,Afmadow,28.0,2801.0
226,Bari,Alula,Caluula,16.0,1601.0
227,Lowe Juba,Badhadhe,Badhaadhe,28.0,2802.0
228,Bay,Baidoa,Baidoa,24.0,2401.0
229,Awdal,Baki,Baki,11.0,1101.0
230,Middle Shebelle,Balad,Balcad,21.0,2102.0
231,Gedo,Bardera,Baardheere,26.0,2601.0
232,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
233,Hiran,BeledWeyne,Belet Weyne,20.0,2001.0
234,Bari,Bender Beila,Bandarbayla,16.0,1602.0
235,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
236,Awdal,Borama,Borama,11.0,1102.0
237,Bari,Bossaso,Bossaso,16.0,1603.0
238,Lower Shebelle,Barawa,Baraawe,23.0,2302.0
239,Middle Juba,Buale,Bu'aale,27.0,2701.0
240,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
241,Hiran,Buloburde,Bulo Burti,20.0,2002.0
242,Bay,Buur Hakaba,Buur Hakaba,24.0,2402.0
243,Togdheer,Burao,Burco,13.0,1302.0
244,Nugaal,Burtinle,Burtinle,17.0,1701.0
245,Sool,Aynabo,Caynabo,14.0,1401.0
246,Bay,Diinsor,Diinsoor,24.0,2403.0
247,Gedo,Dolow,Doolow,26.0,2603.0
248,Galguduud,Dusa Mareb,Dhuusamarreeb,19.0,1903.0
249,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
250,Bakool,El Barde,Ceel Barde,25.0,2501.0
251,Galgaduud,El Buur,Ceel Buur,19.0,1904.0
252,Galgaduud,El Der,Ceel Buur,19.0,1904.0
253,Gedo,Ceel Waaq,El Waq,26.0,2604.0
254,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
255,Nugaal,Eyl,Eyl,17.0,1702.0
256,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
257,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
258,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
259,Bari,Qardho,Qardho,16.0,1604.0
260,Nugaal,Garowe,Garowe,17.0,1703.0
261,Mudug,Galdogob,Galdogob,18.0,1802.0
262,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
263,Mudug,Hobyo,Hobyo,18.0,1804.0
264,Bakool,Hudur,Xudur,25.0,2502.0
265,Bari,Iskushuban,Iskushuban,16.0,1605.0
266,Hiraan,Jalalaqsi,Jalalaqsi,20.0,2003.0
267,Lower Juba,Jamaame,Jamaame,28.0,2803.0
268,Mudug,Jariiban,Jariiban,18.0,1805.0
269,Middle Juba,Jilib,Jilib,27.0,2702.0
270,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
271,,Kandala,Qandala,16.0,1605.0
272,Lower Juba,Kismayo,Kismayo,28.0,2804.0
273,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
274,Sool,Lasanod,Laas Caanood,14.0,1403.0
275,Awdal,Lughaye,Lughaye,11.0,1103.0
276,Gedo,Luuq,Luuq,26.0,2606.0
277,Lower Shebelle,Marka,Marka,23.0,2304.0
278,Benadir,Mogadishu,Mogadishu,22.0,2201.0
279,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
280,Bay,Qansah Dere,Qansax Dheere,24.0,2404.0
281,Bakool,Rab Dhuure,Rab Dhuure,25.0,2503.0
282,Lower Shebelle,Sablale,Sablaale,23.0,2306.0
283,Middle Juba,Sakow,Saakow,27.0,2703.0
284,Togdheer,Sheikh,Sheikh,13.0,1304.0
285,Sool,Taleh,Taleex,14.0,1404.0
286,Bakool,Waajid,Waajid,25.0,2505.0
287,Lower Shebelle,Wanla Weyne,Wanle Weyne,23.0,2307.0
288,sool,Xudun,Xudun,14.0,1402.0
289,Awdal,Zeylac,Zeylac,11.0,1104.0
290,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
291,Nugaal,Garowe,Garowe,17.0,1703.0
292,Mudug,Galdogob,Galdogob,18.0,1802.0
293,Nugaal,Garowe,Garowe,17.0,1703.0
294,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
295,Mudug,Galdogob,Galdogob,18.0,1802.0
296,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
297,Nugaal,Garowe,Garowe,17.0,1703.0
298,Mudug,Galdogob,Galdogob,18.0,1802.0
299,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
300,Mudug,Galdogob,Galdogob,18.0,1802.0
301,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
302,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
303,Bay,Baidoa,Baidoa,24.0,2401.0
304,Lower Shebelle,Afgoye,Afgooye,23.0,2301.0
305,Bay,Baidoa,Baidoa,24.0,2401.0
306,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
307,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
308,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
309,Lower Shebelle,Afgoye,Afgooye,23.0,2301.0
310,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
311,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
312,Lower Shebelle,Afgoye,Afgooye,23.0,2301.0
313,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
314,Middle Shebelle,Adale,Cadale,21.0,2004.0
315,Middle Shebelle,Balad,Balcad,21.0,2102.0
316,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
317,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
318,Bay,Baidoa,Baidoa,24.0,2401.0
319,Bay,Baidoa,Baidoa,24.0,2401.0
320,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
321,Awdal,Borama,Borama,11.0,1102.0
322,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
323,Togdheer,Burao,Burco,13.0,1302.0
324,Sool,Aynabo,Caynabo,14.0,1401.0
325,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
326,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
327,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
328,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
329,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
330,Sool,Lasanod,Laas Caanood,14.0,1403.0
331,Awdal,Lughaye,Lughaye,11.0,1103.0
332,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
333,Togdheer,Sheikh,Sheikh,13.0,1304.0
334,Sool,Taleh,Taleex,14.0,1404.0
335,sool,Xudun,Xudun,14.0,1402.0
336,Awdal,Zeylac,Zeylac,11.0,1104.0
337,Awdal,Baki,Baki,11.0,1101.0
