,Region Name,District,HR_info_district_name,REGN_NO,DIST_NO
494,Bay,Diinsor,Diinsoor,24.0,2403.0
495,Gedo,Dolow,Doolow,26.0,2603.0
496,Galguduud,Dusa Mareb,Dhuusamarreeb,19.0,1903.0
497,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
498,Bakool,El Barde,Ceel Barde,25.0,2501.0
499,Galgaduud,El Buur,Ceel Buur,19.0,1904.0
500,Galgaduud,El Der,Ceel Buur,19.0,1904.0
501,Gedo,Ceel Waaq,El Waq,26.0,2604.0
502,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
503,Nugaal,Eyl,Eyl,17.0,1702.0
504,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
505,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
506,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
507,Bari,Qardho,Qardho,16.0,1604.0
508,Nugaal,Garowe,Garowe,17.0,1703.0
509,Mudug,Galdogob,Galdogob,18.0,1802.0
510,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
511,Mudug,Hobyo,Hobyo,18.0,1804.0
512,Bakool,Hudur,Xudur,25.0,2502.0
513,Bari,Iskushuban,Iskushuban,16.0,1605.0
514,Hiraan,Jalalaqsi,Jalalaqsi,20.0,2003.0
515,Lower Juba,Jamaame,Jamaame,28.0,2803.0
516,Mudug,Jariiban,Jariiban,18.0,1805.0
517,Middle Juba,Jilib,Jilib,27.0,2702.0
518,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
519,,Kandala,Qandala,16.0,1605.0
520,Lower Juba,Kismayo,Kismayo,28.0,2804.0
521,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
522,Sool,Lasanod,Laas Caanood,14.0,1403.0
523,Awdal,Lughaye,Lughaye,11.0,1103.0
524,Gedo,Luuq,Luuq,26.0,2606.0
525,Lower Shebelle,Marka,Marka,23.0,2304.0
526,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
527,Bay,Qansah Dere,Qansax Dheere,24.0,2404.0
